HuMAP2_ID,Confidence,Uniprot_ACCs,genenames
HuMAP2_00094,2,Q96NL0 Q59EK9,RUNDC3B RUNDC3A
HuMAP2_00095,5,O15014 P14373 Q9UQR0 Q9H568 Q93009,ZNF609 TRIM27 SCML2 ACTL8 USP7
HuMAP2_00096,3,P52272 Q8WXF1 Q9Y3I0 Q92499 P12270,HNRNPM PSPC1 RTCB DDX1 TPR
HuMAP2_00097,5,Q7Z624 O43615 P02461 P02452 P08123 O75616,CAMKMT TIMM44 COL3A1 COL1A1 COL1A2 ERAL1
HuMAP2_00098,2,Q9BQG2 P06132 Q13867,NUDT12 UROD BLMH
HuMAP2_00099,2,Q00613 Q03933,HSF1 HSF2
HuMAP2_00100,3,Q6P5W5 Q8NBJ4,SLC39A4 GOLM1
HuMAP2_00101,5,Q8NFY9 Q96CT2 Q9Y6H3 Q1MSJ5 Q9H967 Q9H2C0 Q16653,KBTBD8 KLHL29 ATP23 CSPP1 WDR76 GAN MOG
HuMAP2_00102,4,Q9Y5A9 Q14320 Q00341 Q92900,YTHDF2 FAM50A HDLBP UPF1
HuMAP2_00103,5,Q92564 Q8WZ60 Q8IXQ5 Q8IXL7 P02753,DCUN1D4 KLHL6 KLHL7 MSRB3 RBP4
HuMAP2_00104,4,Q96DI7 A6NC98 P54105 P08579 O95400 P62316 P83876 Q8WWY3 P14678 P62308 Q15020 P62306 Q9BUQ8 O43395 O60828 Q9P0M2 O94906 P62304 O43172 Q53GS9 O43290 O95777 Q9Y333 Q9H6E5 Q9Y4Y9 O43447 O75223 O15116 P62310 P62312 Q9Y4Z0,SNRNP40 CCDC88B CLNS1A SNRPB2 CD2BP2 SNRPD2 TXNL4A PRPF31 SNRPB SNRPG SART3 SNRPF DDX23 PRPF3 PQBP1 AKAP7 PRPF6 SNRPE PRPF4 USP39 SART1 LSM8 LSM2 TUT1 LSM5 PPIH GGCT LSM1 LSM3 LSM6 LSM4
HuMAP2_00105,5,Q9BQE3 O60884 P68363 Q96IX5 P31689 Q01650 Q6PEY2 Q14249 Q92542,TUBA1C DNAJA2 TUBA1B ATP5MK DNAJA1 SLC7A5 TUBA3E ENDOG NCSTN
HuMAP2_00106,5,Q9H845 Q86YH6 Q5T2R2 Q5T1C6 P0CG29 Q9GZY4,ACAD9 PDSS2 PDSS1 THEM4 GSTT2 COA1
HuMAP2_00107,4,P01562 P19429 P05014 P01569 P01567 P01563,IFNA1;IFNA13 TNNI3 IFNA4 IFNA5 IFNA7 IFNA2
HuMAP2_00108,2,O43813 Q5HY92,LANCL1 FIGN
HuMAP2_00109,5,O60930 O75596 Q8WUB8,RNASEH1 CLEC3A PHF10
HuMAP2_00110,4,Q9NZM6 Q96BQ1 Q13563,PKD2L2 FAM3D PKD2
HuMAP2_00111,2,O95865 O94760,DDAH2 DDAH1
HuMAP2_00112,5,Q99549 Q5VWN6 Q96LX8 Q9UK61,MPHOSPH8 TASOR2 ZNF597 TASOR
HuMAP2_00113,5,Q9BVS5 Q9HA77 O94811 Q9UNP9,TRMT61B CARS2 TPPP PPIE
HuMAP2_00114,5,Q9NRG7 Q6P9A2 O94952 Q7Z4W2 Q9Y6B2 P22304,SDR39U1 GALNT18 FBXO21 LYZL2 EID1 IDS
HuMAP2_00115,5,Q9Y2T4 Q00005 Q6NUN9 Q9BXL8 Q9H0K1 P57059 Q5VY09,PPP2R2C PPP2R2B ZNF746 CDCA4 SIK2 SIK1 IER5
HuMAP2_00116,2,P20340 Q9NRW1,RAB6A RAB6B
HuMAP2_00117,4,Q9UM21 Q9Y3C0 O75143 O75385 Q9NQA3,MGAT4A WASHC3 ATG13 ULK1 WASH6P
HuMAP2_00118,5,Q9Y6G9 Q8NBJ7 Q8WZ42,DYNC1LI1 SUMF2 TTN
HuMAP2_00119,2,P52565 P15374,ARHGDIA UCHL3
HuMAP2_00120,4,Q9NQZ5 O95081 Q7Z7F0,STARD7 AGFG2 KHDC4
HuMAP2_00121,5,Q9Y3R0 P49354 O95164 P49356,GRIP1 FNTA UBL3 FNTB
HuMAP2_00122,4,P49773 P30044 P35270,HINT1 PRDX5 SPR
HuMAP2_00123,5,Q66K14 Q8N4L2 Q6ZT07 P50416,TBC1D9B PIP4P2 TBC1D9 CPT1A
HuMAP2_00124,5,Q14690 Q03701 Q8TDD1 Q9Y3T9,PDCD11 CEBPZ DDX54 NOC2L
HuMAP2_00125,5,Q9NX00 Q8NBX0 Q9P021 Q92995,TMEM160 SCCPDH CRIPT USP13
HuMAP2_00126,2,P60174 P07108,TPI1 DBI
HuMAP2_00127,5,Q7Z401 Q8TCB7 Q13586 Q9H4A3,DENND4A METTL6 STIM1 WNK1
HuMAP2_00128,4,Q8TBC5 Q8NBB4 Q96N95,ZSCAN18 ZSCAN1 ZNF396
HuMAP2_00129,4,Q15032 Q86WH2 Q9UM19 Q99732,R3HDM1 RASSF3 HPCAL4 LITAF
HuMAP2_00130,3,Q92828 Q9UQ03,CORO2A CORO2B
HuMAP2_00131,3,P62277 P62273,RPS13 RPS29
HuMAP2_00132,4,Q8N4V1 Q5UCC4 Q9Y3B6 Q9NPA0 Q9BV81 O43402 Q8N766 Q5J8M3 Q9P0I2 Q15006,MMGT1 EMC10 EMC9 EMC7 EMC6 EMC8 EMC1 EMC4 EMC3 EMC2
HuMAP2_00133,5,Q9NVH1 Q9NVT9,DNAJC11 ARMC1
HuMAP2_00134,2,O76054 Q9UDX4 Q9UDX3,SEC14L2 SEC14L3 SEC14L4
HuMAP2_00135,5,Q96IQ9 Q99611 Q9UNK9 P78316 O94953 O75164 Q9BVI4 O00626 P10746,ZNF414 SEPHS2 ANGEL1 NOP14 KDM4B KDM4A NOC4L CCL22 UROS
HuMAP2_00136,4,P47929 Q8N4U5 Q5TF39 P68363 P0DPH8,LGALS7;LGALS7B TCP11L2 MFSD4B TUBA1B TUBA3D
HuMAP2_00137,5,Q8N5S1 P42566 Q0JRZ9 O14526 P98082,SLC25A41 EPS15 FCHO2 FCHO1 DAB2
HuMAP2_00138,5,O60575 Q92743 Q9BYZ8,SPINK4 HTRA1 REG4
HuMAP2_00139,2,Q9UBP0 P53990,SPAST IST1
HuMAP2_00140,5,P49137 Q8N9N7 Q96GV9 O75716,MAPKAPK2 LRRC57 MACIR STK16
HuMAP2_00141,2,Q15399 Q9Y2C9,TLR1 TLR6
HuMAP2_00142,4,Q9Y6C2 O94941 Q9NYJ8 Q15750 Q8N5C8,EMILIN1 UBOX5 TAB2 TAB1 TAB3
HuMAP2_00143,2,O43172 Q5T8P6,PRPF4 RBM26
HuMAP2_00144,5,Q9H582 Q8N465 Q96JM2 Q96GT9 Q9H9B1 Q8WTP9 Q96KQ7 O95785,ZNF644 D2HGDH ZNF462 XAGE2 EHMT1 XAGE3 EHMT2 WIZ
HuMAP2_00145,4,Q9Y4X5 O95208 Q9H201,ARIH1 EPN2 EPN3
HuMAP2_00146,4,Q7L8J4 Q9NWX6 Q96G01,SH3BP5L THG1L BICD1
HuMAP2_00147,4,P20648 Q86YB8 Q9NRD1 P51688 O95479,ATP4A ERO1B FBXO6 SGSH H6PD
HuMAP2_00148,3,P05091 P23368,ALDH2 ME2
HuMAP2_00149,2,P17040 Q15697,ZSCAN20 ZNF174
HuMAP2_00150,4,O14544 O95376,SOCS6 ARIH2
HuMAP2_00151,4,Q8TD31 Q4KMZ1,CCHCR1 IQCC
HuMAP2_00152,5,Q15011 O75808 Q7Z3C6,HERPUD1 CAPN15 ATG9A
HuMAP2_00153,4,Q9UPQ9 Q8NDV7 Q9HBD1 Q5TC82 Q9UL18 Q9H9G7,TNRC6B TNRC6A RC3H2 RC3H1 AGO1 AGO3
HuMAP2_00155,5,Q9UH62 O60518 O15438 O75110,ARMCX3 RANBP6 ABCC3 ATP9A
HuMAP2_00156,5,Q9Y5S2 O60927 Q14CS0 Q96GI7,CDC42BPB PPP1R11 UBXN2B FAM89A
HuMAP2_00157,5,Q0VDG4 P35243,SCRN3 RCVRN
HuMAP2_00158,2,Q03013 P28161 P21266 P46439,GSTM4 GSTM2 GSTM3 GSTM5
HuMAP2_00159,4,Q9NR33 Q9NRF9 P56282 Q07864,POLE4 POLE3 POLE2 POLE
HuMAP2_00160,5,Q52LG2 Q9GZT8 Q8WV74 P01185,KRTAP13-2 NIF3L1 NUDT8 AVP
HuMAP2_00161,3,Q99081 Q02363,TCF12 ID2
